text	labels
Evangelischer Friedhof Tönisheide	Sentence Boundary,Grammar Mistake
An die Stelle von Byzanz, das die Venezianer im Verbund mit den Kreuzfahrern 12404 entmachtet hatten, trat nun mit den Osmanen ein furchterregender neuer Gegner, der Venedig unglaubliche finanzielle Mittel und militärische Anstrengungen kostete und der dennoch stetig vordrang.	Clean
com/de/company/career/jobs-orsay/	Sentence Boundary,Grammar Mistake,Spelling Anomaly,Non-linguistic Content
Herr Murr ist auch Lohnunternehmer und erntet ca. 250 ha Getreide und Körnermais im Jahr.	Clean
Fastloader-Cartridge Schneller Fastloader für Floppy 1551.	Grammar Mistake,Spelling Anomaly
Alles in Allem kann ich guten Gewissens sagen, dass auch der vierte Sammelband der „Chronik der Drachenlanze“ eine tolle Graphic Novel ist, die sich nahtlos an die vorigen Bände anfügt.	Clean
Europa verschließe angesichts der alltäglichen Bootskatastrophen die Augen, heißt es in der Erklärung.	Clean
Eine darüber hinausgehende Datenverarbeitung zu Werbezwecken basiert auf Ihrer ausdrücklichen Einwilligung weiter unten.	Clean
Die Bewohner wurden veranlasst, umgehend eine Fachfirma mit der Rohrreinigung zu beauftragen.	Clean
In der 2. Bundesliga gelang unserem VfL zuletzt der Traumstart in die Rückrunde mit 7:0 Toren und sechs Punkten aus zwei Spielen.	Clean
Schau einfach mal bei eBay oder bei diversen Orchideenonlineshops nach dieser Vanda.	Clean
- bieten Experten-Know-how für Ihre tägliche Arbeit	Sentence Boundary,Grammar Mistake
Mit Norwegen beschuldigt jedoch der erste NATO-Staat öffentlich die chinesische Regierung hinter Cyber-Attacken zu stecken.	Clean
Habt ihr schon kulinarisches Fernweh?	Clean
KESCHDEMARKT am SONNTAG, 21. OKTOBER 2018	Sentence Boundary,Grammar Mistake,Spelling Anomaly
Tomandl-Vorschläge sind Kreuzzug gegen Frauen	Sentence Boundary,Grammar Mistake
„Für die Akzeptanz der Energiewende spielen Energiepreise eine entscheidende Rolle“, ergänzte Rösler.	Clean
Durch die Ansaat einer Gründüngung, die im Zeitraum von März bis circa August auf dem Boden wächst, verliert der Gärtner ein gesamtes Pflanzjahr.	Clean
Der Caixin Einkaufsmanagerindex für das verarbeitende Gewerbe Chinas, sowie die Industrieproduktion Japans und die Entwicklung der Verbraucherpreise im Raum Tokio stehen an.	Clean
Niemand hängt sich ein langweiliges, mit Werbung zugepflastertes Druckstück das ganze Jahr über ins Büro.	Clean
Quelle: Hannoversche Allgemeine Zeitung, 15. März 2011	Sentence Boundary,Grammar Mistake
Das Mähgut eignet sich zur Futternutzung und ist als Heu, Öhmd oder Silage verwendbar.	Clean
Rabatte gewinnen als Verkaufsargument wieder immer mehr an Bedeutung.	Clean
Produziert wurde es bei Alemanno von 1962 bis 1964 zunächst mit einem 2,2-Liter-Motor, ab 1964 dann mit 2,4-Liter-Triebwerk.	Clean
Liebe, Hass, Verzweiflung und vieles mehr wird Sie durch den Abend begleiten.	Clean
Dadurch, dass sie sich militärischer Aktivitäten enthielt, wurde die republikanische Bewegung in der Republik Irland stärker und erzielte – langfristig gesehen – einen politischen Durchbruch, der ihnen bis dahin nicht gelungen war.	Clean
Er hatte es auf ihre Enkelinnen abgesehen.	Clean
Konrad Adenauer, deutscher CDU-Politiker	Sentence Boundary,Grammar Mistake
Das Spiel fängt derjenige an, der die kleinste Trumpfkarte hat!	Clean
Auch der niedersächsische Käse ist eine Reise in das nördliche Bundesland wert: Sennereien und Dorfkäsereien bieten eine bunte Vielfalt an Käsespezialitäten – darunter auch regionaler Pecorino oder Büffelmozzarella.	Clean
Kein Wunder also, dass ein besonderer Wert auf hochprofessionelles und exklusives Webdesign gelegt wird.	Clean
Unbehandelt kann sie allerdings bis zur Erblindung führen.	Clean
Am Wochenende präsentiere ich euch den Bepflanzungsplan für meinen Hang.	Clean
Als im 20. Jahrhundert die Funktechnik entwickelt wurde, fand diese auch immer mehr Anwendung auf den Schiffen der Reichsmarine.	Clean
Deine Speisen und tollen Bilder sind immer sehr appetitanregend und sorgen oft für neue Ideen in meiner Küche.	Clean
Mit etwas Abstand zueinander in die gebutterte Form setzen, weitere 30 Minuten gehen lassen.	Clean
In der frühen Phase der Vergabe werden die ersten grundlegenden Weichen für das Bauprojekt gestellt.	Clean
So kann die schweigende Mehrheit in unserer Stadt erkennen, dass sehr viele andere Hamburger ähnliche Sorgen haben – und endlich Mut fassen.	Clean
Vor dem Aufgießen duftet diese Rarität herrlich zart und blumig und entfaltet dann seine ganze Tiefe sowie seine kontrastreichen, herben Noten.	Clean
Es werden zwei Papprollen benötigt.	Clean
Verschiedene Hütten laden zu einer Stärkung oder einfach nur zum Entspannen in der Sonne ein.	Clean
Beschaffenheit StudioLine Parkett Puzzlematte:	Sentence Boundary,Grammar Mistake
1. Preis, Reisen mit Kindern für den “Kindertraum Schweden	Sentence Boundary,Grammar Mistake,Punctuation Error
Malu Dreyer ist alte und neue Ministerpräsidentin von Rheinland-Pfalz.	Clean
item_no IN ('AGF14000','MÜF16200','MÜF48200','MÜF51200','MÜF17000','MÜF63200','MÜF49150','MÜF20010','CMF02200') AND shop_item_has_category.	Sentence Boundary,Grammar Mistake,Spelling Anomaly,Non-linguistic Content
Wer jetzt Interesse daran hat, sich Killing Hasselhoff zu kaufen, kann dies u.a. über machen.	Grammar Mistake
Sport- und Fitnesskaufmann St. Pölten	Sentence Boundary,Grammar Mistake
Verkehrssicherheit: Alkoholverbot für alle Lenker von Schülertransporten	Sentence Boundary,Grammar Mistake
Kleinere wunde Stellen sind bei mir schnell abgeheilt.	Clean
Die Braunkohle hat einereits als heimische Energieressource große wirtschaftliche Bedeutung, die mit der jüngst beschlossenen Abkehr von der Atomenergie ja noch wesentlich stieg, anderseits ihre eigene klimatische Problematik: Beide sind aber nicht Themen eines geologischen Exkursionsführers.	Clean
Das Unternehmen beschäftigt in 24 Ländern weltweit mehr als 4.700 Menschen und unterstützt rund zwölf Mio. Nutzeinheiten (Wohnungen und Gewerbeimmobilien) bei der Einsparung wichtiger Ressourcen.	Clean
Saftige Beeren und ein Hauch aromatischer Vanille ergeben ein überraschend fruchtig-frisches Geschmackserlebnis.	Clean
Der Verbraucher sollte genauso auf den zukünftigen Stromgrundpreis ebenso wie den Preis pro kWh des grünen Stromanbieters achten.	Clean
So weisen Zimmer mit Decken, Wänden oder Boden aus Holz in der Tat ein geringeres Maß an Luftfeuchtigkeit auf und Speichern Wärme im Winter besser als unverkleidete Zimmer.	Spelling Anomaly
Mehrjährige Berufserfahrung in der Automatisierungstechnik sowie Erfahrung mit verschiedenen Sensoriken und Kamerasysteme	Sentence Boundary,Grammar Mistake
20,5 Milliarden US-Dollar Schulden soll der Anbieter haben.	Clean
Mir ist unverständlich, dass das Land diese Chance nicht nützt und mehr Forschungs- und Fördergeld für ein von Gemeinden getragenes, zeitgemäßes Bildungs- und Bewusstseinsprojekt „Sprachen“ bereitstellt, das zudem der Integration hilft.	Clean
Bei Cookies handelt es sich um kleine Textdateien, die dem von Ihnen verwendeten Browser zugeordnet gespeichert werden und durch welche der Stelle, die den Cookie setzt (hier durch Drittanbieter), bestimmte Informationen zufließen.	Clean
com/advanced_search_result.	Sentence Boundary,Grammar Mistake,Spelling Anomaly,Non-linguistic Content
Dass das funktioniert, zeigen die „Wochenmarkttage“ dienstags und freitags, an denen ein reger Publikumsverkehr in der Stadt herrscht.	Clean
Konrad von Jungingen, Hochmeister der Bruderschaft, ist mächtig, skrupellos und tiefgläubig.	Clean
Hierbei kommt es zu einer beschleunigten Entleerung der Nahrung aus dem Magen in den Dünndarm.	Clean
Krieg und Freiheit zusammenzubringen wie die zwei Seiten einer Verwundetenmedaille, das ist im letzten halben Jahrtausend auch Bellizisten von geringerer Sophistik als Gauck gelungen.	Clean
Rechtsanwalt (m/w) Financial Services - Hamburg	Sentence Boundary,Grammar Mistake
Die Fragen nach den Vergewaltigungen und den schlimmsten Erlebnissen, die Fragen nach den Verlusten von Angehörigen haben sie sehr berührt.	Clean
Übrigens schützt Plexiglas nicht nur vor UV-Strahlen – das Acrylglas ist auch sehr UV-beständig.	Clean
Direktwahlen erhöhten das öffentliche Interesse an politischen Prozessen, sagte Wulff.	Clean
Berechnen Sie die Änderung der Entropie, die sich ergibt, wenn man 100 g Wasser mit einer Temperatur von 80°C in ein thermisch isoliertes Gefäß zu 100 g Wasser mit einer Temperatur von 10°C hinzugibt.	Clean
Ich benutzte alle kleinen Finessen und war extrem erfolgreich damit.	Clean
Im Turm hängen 3 Glocken, zwei davon noch aus vorreformatorischer Zeit.	Clean
Und hieran schließt eine Kritik an der Relation von dem Ersten Beweger, Gott, und den übrigen Bewegern oder reinen Intelligentien an, im 1. Teil der These 67:	Sentence Boundary
Vor dem Einbau meines neuen RAMs habe ich mich gefragt, wie sich dadurch wohl der Stromverbrauch meines PCs verändert.	Clean
Von der niederländischen Malerei des 17. Jahrhunderts bis hin zu aktuellsten Positionen der Gegenwartskunst reichen die Motive der Ausstellung in der Weserburg, Bremens Museum für moderne Kunst.	Clean
Die Schirmherrschaft für diese Veranstaltung hat Sachsens Ministerpräsident Stanislaw Tillich bereits übernommen.	Clean
Entsprechend groß war auch die Beteiligung beim fröhlichen Beisammensein auf einer Wiese nahe Seerau bei Hitzacker.	Clean
Ferner den Plan zu dem 1944/45 in Bau befindlichen unterirdischen Fertigungsstollen des Rüstungsbetriebs Fritz Leitz, in dessen demontierten Betriebsgebäuden die Firma Carl Zeiss mit ihrer ersten Oberkochener Nachkriegsproduktion begann.	Clean
Gewebeschutzschlauch 25-45,0 mm, schwarz	Sentence Boundary,Grammar Mistake
Ich bin immer gleich nach der Schule nach draußen gegangen, habe mit Freunden gebolzt, mit einfachen Haken geangelt, neue Ställe für meine Hasen gebaut.	Clean
Wandern in Bayern – meine Buchtipps für den	Sentence Boundary,Grammar Mistake
16. Spieltag: Uruguay vs. Ägypten	Sentence Boundary,Grammar Mistake
So bemerkt auch die , was für ein interessanter Mensch du bist und die Chance mit deinem in Kontakt zu kommen ist deutlich höher.	Grammar Mistake
„Wasser marsch“, scherzte Freyermuth und betonte, dass Barmstedt mit dem neuen, zusätzlichen Reinwasserbehälter auch für den Fall eines Großbrands gerüstet sei.	Clean
In einem Gedichte-Workshop verfassten die Jugendlichen Texte in ihrer Muttersprache, die Spanta simultan ins Deutsche übersetzte.	Clean
Du willst das zukünftige Europa für junge Menschen mitbestimmen?	Clean
Und man wird während der Bauarbeiten (wenn sich Arbeiter im Gleisbereich aufhalten) wohl kaum schneller als Schrittgeschwindigkeit durch den Abschnitt fahren können.	Clean
Jedem dieser Brillanten wurde durch aufwändiges Schleifen eine besondere Form gegeben.	Clean
Tischlermeister für Arbeitsvorbereitung/Konstruktion	Sentence Boundary,Grammar Mistake
Abteilung Psychologie II der Technischen Universität Kaiserslautern	Sentence Boundary,Grammar Mistake
Christoph Waltz läutet den "Movember" ein	Sentence Boundary
Damit tauchen auch viele Fragen auf: Wie ist seine Lebensweise?	Clean
Der Bikepark des Gravity Pilots e.V. erstreckt sich unter der Autobahnbrücke bei Eltville auf einer Länge von ca. 150 m und einer Breite von ca. 20 m und weist ein leichtes Gefälle auf.	Clean
Währenddessen holte die zuletzt noch angeschlagene Sandra Liebig mit starken 810 Holz (8 EWP) einige Hölzer auf die Hessinnen auf.	Clean
Im Bereich des Rachens (Rachenring) sind die verschiedenen Mandeln angesiedelt.	Clean
Sie schützten ganz Westeuropa vor dem Sowjetsystem.	Clean
Eine schräge Kopfhaltung ist die Folge.	Clean
Es ist überaus schwierig, eine Einschätzung der Situation der Frau in den sozialistischen Ländern zu geben, denn erstens sind in den verschiedenen Ländern auf Grund ihrer ökonomischen und politischen Entwicklung sehr verschiedene Situationen vorhanden und zweitens wird diese Frage in dem mir zugänglichen Material aus diesen Ländern in Fremdsprachen meist nur aus propagandistischer Sicht behandelt.	Clean
Trifft die Liebe seines Herzens,	Sentence Boundary,Grammar Mistake
Maßgeblicher Anteil am Klassenerhalt Damen 1	Sentence Boundary,Grammar Mistake
Natürlich stellen sich dann auch juristische Fragen.	Clean
Die Gemeinde mit ihren 17 Weilern und Ortsteilen bietet eine außerordentlich anspruchsvolle Gastronomie und hervorragende, qualifizierte Beherbergungsbetriebe, vom Zimmer über Ferienwohnungen bis zum Vier-Sterne-Wellness-Hotel.	Clean
In voller Blüte stünden die Herkulesstauden an der Mündung des Flutgrabens in die Wieseck, beobachtete Ursula Seipp (SPD).	Clean
Warum fallen Katzen immer auf die Füße?	Clean
Der Respekt vor diesem Instrument wird mir nie vergehen, hoffe ich.	Clean
Kein Invest des Händlers, keine Wartung, kein Bargeld-Handling, keine laufenden Kosten, kein Platzbedarf in der Filiale, kein Anstehen, kein Warten.	Clean
Dass Wetzlar von 1689 bis 1806 Standort des höchsten deutschen Gerichts, des Reichskammergerichts, war, erfahren Besucher des gleichnamigen Museums.	Clean
Fester Bestandteil des HITS-Magazins sind knallharte Tests und Bewertungen aktueller Kameramodelle und Objektive sowie Zubehör – als objektive und unabhängige Kaufberatung für alle, die über den Erwerb neuer Ausrüstung nachdenken.	Clean
Wir brauchen wieder eine Kultur des Zutrauens in die Fähigkeiten der Menschen und Unternehmen in Nordrhein-Westfalen.	Clean
Als Fundament des Universums sind Zahlen die wichtigsten Lebensbausteine.	Clean
Sind Sie größer als Gott?	Clean
Geldregen für Verein „Sonnenstrahl“	Sentence Boundary,Grammar Mistake
Das Nylon-Loop-Material verfügt über markante Dartboard-Grafiken, 3 internationale Wurfweiten und eine zentrale Visierlinie.	Clean
Hatte er seine Wut nicht besser unter Kontrolle als vor Jahrhunderten?	Clean
Ab August 2018 sind in hessischen Kindergärten täglich 6 Stunden beitragsfrei.	Clean
Vielleicht wird Facebook die neue UN.	Clean
Bei der neuen SMUDD Jacke stellt uns unser japanischer Lieferant ein exklusives Material zur Verfügung, welches durch seine Leichtigkeit und seine extreme Atmungsaktivität besticht.	Clean
Medisana Luftbefeuchter Ultrabreeze zusätzlichem Nachtlicht	Sentence Boundary,Grammar Mistake
The Somerset Toiletry Company (3)	Sentence Boundary,Grammar Mistake,Spelling Anomaly
Wir treten mit einer sehr jungen Mannschaft an.	Clean
Informationen zu maßgeschneiderten Formteilen und Baugruppen finden Sie im Bereich „egeFit Baugruppen und Formteile nach Vorgaben“	Sentence Boundary
Sollten Sie die Gemeindeflagge Buch an einem Punkt aufhängen wollen, dann können Sie diese mit einer Aufhängevorrichtung bestellen.	Clean
Wir hatten einen rundum schönen Aufenthalt.	Clean
Der Favorit Max-Jarne Austen (TSV Aukrug) beherrschte die Konkurrenz nach Belieben und holte sich die Goldmedaille.	Clean
Sie ist das oberste Organ und kann allen Gremien des DJV Berlin bindende Weisungen erteilen.	Clean
Die Spiel- und Lernstube ist Kontakt- und Anlaufstelle für Kinder, Jugendliche, Eltern und Bewohner im Stadtteil.	Clean
Das Öko-Institut fordert ein Exportverbot der hochgiftigen, in der EU nicht zugelassenen Pestizide.	Clean
Dem deutschen Eisenbahnsektor droht damit, seine im europäischen Vergleich wichtige Rolle bei der Ausgestaltung eines diskriminierungsfreien und zugleich praktikablen und transparenten Anreizsystems zu verlieren.	Clean
Frequenzregelung (dabei jährlicher Nachweis von 200 totalen Koloskopien und zehn Polypektomien, gilt nicht für Kinderärzte)	Sentence Boundary,Grammar Mistake
Diese illustre Garde einer möglichen Endzeitstimmung mit selbstgemachten Kostümen ist einfach ein Hingucker mit viel Aufmerksamkeit.	Clean
Die Akteure vom „Theater Oberschwaben Bodensee“ beweisen, dass sie dazu in der Lage sind.	Clean
Im OP der Kinderklinik der MHH werden pro Jahr zwischen 1500 und 2000 Operationen durchgeführt.	Clean
Implantatgetragener Zahnersatz hat viele Vorteile - medizinische, funktionelle, phonetische und ästhetische.	Clean
In dem Seminar werden die geänderten Bestimmungen vorgestellt und diskutiert.	Clean
